ordinal_date,larva_per_m2_branch
135,115.14
140,107.44
142,148.24
146,127.29
148,74.11
153,126.95
155,108.37
160,88.97
162,70.55
167,58.9
169,62.64
174,48.38
176,44.52
180,31.59
181,20.85
184,14.37
188,12.62
190,4.55
194,5.45
